Time    Rate
0.1083	0.0004926
1.0469	0.0005568
1.9134	0.0007196
2.7437	0.001014
3.4296	0.0013742
3.9711	0.0020304
4.5126	0.0031794
4.9458	0.0041972
5.5235	0.0050176
5.9928	0.0056082
6.3177	0.0062648
6.5704	0.0069872
6.9314	0.0073808
7.4007	0.0085628
7.7617	0.0095478
8.1227	0.0106643
8.4116	0.0116166
8.556	0.0122734
8.8448	0.0127986
9.1697	0.012601
9.3502	0.0120421
9.4946	0.0116148
9.9278	0.0112198
10.361	0.0109891
10.722	0.0103643
11.1913	0.009575
11.6606	0.0088186
11.9856	0.0082596
12.3466	0.007569
12.5271	0.0070102
13.0325	0.0062209
13.7184	0.005727
13.9711	0.005398
14.4043	0.0049373
14.9097	0.0044108
15.2708	0.0040488
15.8484	0.0035879
16.4621	0.0034226
17.2563	0.0030928
18.0866	0.0026643
18.7365	0.0023676
19.2058	0.0021368
19.9278	0.00184
