vx    y
-0.3480331262939959  -0.03030549898167012
-0.33105590062111806  -0.03494908350305502
-0.31656314699792965  -0.03262729124236252
-0.29668737060041406  -0.03714867617107946
-0.2788819875776397  -0.028228105906313666
-0.2544513457556936  -0.0413034623217923
-0.22339544513457552  -0.03898167006109983
-0.20890269151138713  -0.04350305498981673
-0.19523809523809524  -0.04496945010183302
-0.1546583850931677  -0.04949083503054992
-0.143064182194617  -0.04802443991853364
-0.12318840579710147  -0.05169042769857439
-0.09089026915113874  -0.05389002036659882
-0.04120082815734988  -0.05572301425661917
-0.01345755693581785  -0.05865580448065178
0.013871635610766042  -0.06012219959266805
0.015942028985507284  -0.06219959266802446
0.039544513457556996  -0.06513238289205708
0.05486542443064191  -0.06708757637474547
0.07101449275362326  -0.06953156822810595
0.08260869565217382  -0.0709979633401222
0.09171842650103518  -0.07405295315682286
0.0966873706004141  -0.07551934826883912
0.1049689440993789  -0.07747454175152754
0.10828157349896483  -0.07967413441955197
0.11821946169772257  -0.0818737270875764
0.11987577639751551  -0.08431771894093691
0.13022774327122144  -0.08566191446028515
0.12194616977225692  -0.08883910386965375
0.12815734989648037  -0.09079429735234221
0.13105590062111805  -0.09543788187372712
0.13561076604554861  -0.09861507128309574
0.13602484472049686  -0.10118126272912428
0.13685300207039341  -0.10399185336048881
0.1372670807453416  -0.10680244399185342
0.14140786749482398  -0.11303462321792265
